,titulo,autor,disp,editora 
265,Cinquenta Tons Mais Escuros,E.L. James,/DISPONIVEL,Intrínseca 
266,Regras simples,Donald Sull e Kathleen M. Eisenhardt,/DISPONIVEL,Intrínseca 
267,A batalha por WondLa,Tony DiTerlizzi,/DISPONIVEL,Intrínseca 
268,Antes que eu vá,Lauren Oliver,/DISPONIVEL,Intrínseca 
269,Cinquenta Tons Mais Escuros,E.L. James,/DISPONIVEL,Intrínseca 
270,A longa caminhada de Billy Lynn,Ben Fountain ,/DISPONIVEL,Intrínseca 
271,Como Combater a Fúria de Um Dragão,Cressida Cowell,/DISPONIVEL,Intrínseca 
272,A verdade é teimosa,Miriam Leitão,/DISPONIVEL,Intrínseca 
273,Às urnas; cidadãos!,Thomas Piketty,/DISPONIVEL,Intrínseca 
274,Pequenas Grandes Mentiras,Liane Moriarty ,/DISPONIVEL,Intrínseca 
275,Os Irmãos Tapper Detonam Nova York,Geoff Rodkey,/DISPONIVEL,Intrínseca 
276,Somos Todos Extraordinários,R. J. Palacio,/DISPONIVEL,Intrínseca 
277,Eu Sei Onde Você Está,Claire Kendal,/DISPONIVEL,Intrínseca 
278,Somos Guerreiras,Glennon Doyle Melton,/DISPONIVEL,Intrínseca 
279,Quem era ela,JP Delaney,/DISPONIVEL,Intrínseca 
280,Um Amor Incômodo,Elena Ferrante,/DISPONIVEL,Intrínseca 
281,Mitologia Nórdica,Neil Gaiman,/DISPONIVEL,Intrínseca 
282,A Garota Que Você Deixou Para Trás,Jojo Moyes,/DISPONIVEL,Intrínseca 
283,Tudo o que nunca contei, Celeste Ng ,/DISPONIVEL,Intrínseca 
284,Olhos Prateados,Scott Cawthon,/DISPONIVEL,Intrínseca 
285,Quatro estações em Roma,Anthony Doerr,/DISPONIVEL,Intrínseca 
286,Todo amor tem segredos,Viih Tube,/DISPONIVEL,Intrínseca 
287,Os irmãos Tapper detonam Nova York,Geoff Rodkey,/DISPONIVEL,Intrínseca 
288,Até Que a Culpa Nos Separe,Liane Moriarty ,/DISPONIVEL,Intrínseca 
289,Até Que a Culpa Nos Separe,Liane Moriarty ,/DISPONIVEL,Intrínseca 
290,Deixei Você Ir,Clare Mackintosh,/DISPONIVEL,Intrínseca 
291,Deixei Você Ir (e-Book),Clare Mackintosh,/DISPONIVEL,Intrínseca 
292,Uma Pergunta Por Dia Para Mães,Potter Style,/DISPONIVEL,Intrínseca 
293,Como Se Tornar Um Campeão,Márcia Vieira,/DISPONIVEL,Intrínseca 
294,Ruby,Cynthia Bond,/DISPONIVEL,Intrínseca 
295,Ruby,Cynthia Bond,/DISPONIVEL,Intrínseca 
296,Sprint,Jake Knapp,/DISPONIVEL,Intrínseca 
297,Sprint - Livro Digital,Jake Knapp,/DISPONIVEL,Intrínseca 
298,O Papa e Mussolini,David I. Kertzer,/DISPONIVEL,Intrínseca 
299,Antes Que Eu Vá,Lauren Oliver,/DISPONIVEL,Intrínseca 
300,Agora e Para Sempre; Lara Jean,Jenny Han,/DISPONIVEL,Intrínseca 
301,Tudo o que nunca contei, Celeste Ng ,/DISPONIVEL,Intrínseca 
302,Pequenas Grandes Mentiras,Liane Moriarty ,/DISPONIVEL,Intrínseca 
303,Bem-vindo à Vida Real,Christian McKay Heidicker,/DISPONIVEL,Intrínseca 
304,Antes da Queda,Noah Hawley,/DISPONIVEL,Intrínseca 
