index,titulo,autor,disp,genero,n_pags,editora 
 4209,"A Música do Cinema - 2","João Máximo",DISPONIVEL,"  ",442,Rocco 
 4210,"Enquanto o sono não vem","José Mauro Brant",DISPONIVEL,"  ",50,Rocco 
 4211,Demonologia,"Rick Moody",DISPONIVEL," ",288,Rocco 
 4212,"O Alquimista","Paulo Coelho",DISPONIVEL,"Literatura Brasileira / Romance / Autoajuda / Ficção / Filosofia / Religião e Espiritualidade ",224,Rocco 
 4213,"Qadehar; O Feiticeiro","Erik L´homme",DISPONIVEL," ",261,Rocco 
 4214,"Uma Aula de Matar","Ana Arruda Callado",DISPONIVEL," Ana Arruda Callado, Ateneia Feijó, Carmen Moreno, Denise Assis, Denise Bandeira, Elienne Narducci, Fátima Valença, Heloisa Marra, Marcia Cezimbra, Maria Carmem Barbosa, Mary Del Priore, Regina Zappa, Scarlet Moon e Tessy Calado formam o time de Elas são de morte ",157,Rocco 
 4215,"Moda e Comunicação","Malcolm Barnard",DISPONIVEL,"  ",268,Rocco 
 4216,"O Sequestro","Diane Hoh",DISPONIVEL,"Infantojuvenil / Suspense e Mistério ",167,Rocco 
 4217,"A Fuga","K. A. Applegate",DISPONIVEL," ",143,Rocco 
 4218,"Dicionário: O Pequeno Rebelde","Claudine Desmarteau",DISPONIVEL,"Infantojuvenil ",73,Rocco 
 4219,"O Demônio e a Srta. Prym","Paulo Coelho",DISPONIVEL,"Ficção / Romance / Suspense e Mistério / Literatura Brasileira ",192,Rocco 
 4220,Middlesex,"Jeffrey Eugenides",DISPONIVEL,"Romance ",568,Rocco 
 4221,"A Protegida","David Baldacci",DISPONIVEL," ",440,Rocco 
 4222,"Imagem Dupla","David Morrell",DISPONIVEL," ",434,Rocco 
 4223,"Aqui na terra","Alice Hoffman",DISPONIVEL,"Drama ",287,Rocco 
 4224,"Historias horripilantes demais para se contar no acampamento","Tom B. Stone",DISPONIVEL," Os seres mais horripilantes podem estar bém atrás de você! ",137,Rocco 
 4225,"Uma Comovente Obra de Espantoso Talento","Dave Eggers",DISPONIVEL," ",457,Rocco 
 4226,"O Hambúrguer era de Carneiro","Mariana Massarani",DISPONIVEL,"   ",89,Rocco 
 4227,"Monte da Alegria","Autran Dourado",DISPONIVEL," ",175,Rocco 
 4228,"O Artista da Morte","Daniel Silva",DISPONIVEL,"Romance policial / Suspense e Mistério ",368,Rocco 
 4229,"Onze Minutos","Paulo Coelho",DISPONIVEL,"Literatura Brasileira / Autoajuda / Religião e Espiritualidade / Romance ",256,Rocco 
 4230,"O adeus","Paola Calvetti",DISPONIVEL," ",194,Rocco 
 4231,"Noites Nômades","Espaço e subjetividade nas culturas jovens contemporâneas",DISPONIVEL," ",250,Rocco 
 4232,"A FELICIDADE É AQUI","Luiz Alberto Py",DISPONIVEL,"     ",166,Rocco 
 4233,Dançarinas,"Margaret Atwood",DISPONIVEL," ",216,Rocco 
 4234,"Em busca do pecador perfeito","elizabeth george",DISPONIVEL," ",540,Rocco 
 4235,"Os órfãos de Ruanda","Elmore Leonard ",DISPONIVEL," ",241,Rocco 
 4236,"O menino e a Princesa Pum","Fernando Lebeis",DISPONIVEL," Para salvá-lo, eis que surge a Princesa Pum! ",47,Rocco 
 4237,"Os sete pecados da memória"," SCHACTER",DISPONIVEL," ",308,Rocco 
 4238,"O Testamento do Trovador","James Cowan",DISPONIVEL," ",184,Rocco 
 4239,"Nos passos de... Marco Polo","Sandrine Mirza",DISPONIVEL,"[texto do site da Rocco] ",128,Rocco 
 4240," EM FORMA DE DENTRO PARA FORA"," VICTORIA MORAN",DISPONIVEL,"  ",308,Rocco 
 4241,"Em Busca de Uma Psicologia do Despertar","John Welwood",DISPONIVEL," ",336,Rocco 
 4242,"A Vingança do Povo das Sombras",R.L.Stine,DISPONIVEL,"E está perseguindo Vicente!Ele tem que se esconder - mas para onde ele pode ir? Onde você se esconderia de uma sombra? ",109,Rocco 
 4243,"Como sobreviver sendo um menino","Jacques Arènes",DISPONIVEL," ",111,Rocco 
 4244,"Pode Entrar Dona Sorte","Grupo Confabulando",DISPONIVEL,"  ",59,Rocco 
 4245,"Outra Face De Hollywood: Filme B"," A. C. GOMES MATTOS",DISPONIVEL,"  ",185,Rocco 
 4246,"David Rockefeller","David Rockefeller",DISPONIVEL," Biografia, Autobiografia, Memórias ",536,Rocco 
 4247,"Em Busca do Pecador Perfeito","Elizabeth George",DISPONIVEL,"  ",540,Rocco 
 4248,"Um Ganso em Toulouse","Mort Rosenblum",DISPONIVEL," ",376,Rocco 
 4249,"O Arcano","Janet Gleeson",DISPONIVEL,"  ",264,Rocco 
 4250,"Em Nome de Salomé"," Julia Alvarez ",DISPONIVEL,"  ",364,Rocco 
 4251,"As Aventuras de Dona Friz - Egito Antigo","Joanna Cole",DISPONIVEL," ",44,Rocco 
 4252,Eragon,"Christopher Paolini",DISPONIVEL,"Fantasia / Literatura Estrangeira ",460,Rocco 
 4253,"Bandeira e Lilás","John Berger",DISPONIVEL,"Romance ",194,Rocco 
 4254,"Admirador Secreto","R. L. Stine",DISPONIVEL,"Literatura Estrangeira ",130,Rocco 
 4255,"Beijo Mortal","R. L. Stine",DISPONIVEL,"Literatura Estrangeira ",121,Rocco 
 4256,"Número Errado","R. L. Stine",DISPONIVEL,"Literatura Estrangeira ",149,Rocco 
 4257,"Como Ser Legal","Nick Hornby",DISPONIVEL," ",307,Rocco 
 4258,"Esquecer o Natal","John Grisham",DISPONIVEL," ",216,Rocco 
 4259,"Puxa; qual bruxa?","Eva Ibbotson",DISPONIVEL,"Ela almeja ser uma bruxa diabólica - mas como?Infantojuvenil ",160,Rocco 
 4260,"O segredo da plataforma 13","Eva Ibbotson",DISPONIVEL,"Infantojuvenil / Literatura Estrangeira ",158,Rocco 
 4261,"Sangue e Ouro","Anne Rice",DISPONIVEL,"Ficção / Horror / Literatura Estrangeira / Romance ",484,Rocco 
 4262,"A intimação","John Grisham",DISPONIVEL,"Literatura Estrangeira / Romance ",284,Rocco 
 4263,"O Ponto de Desequilíbrio","Malcolm Gladwell",DISPONIVEL," ",253,Rocco 
 4264,"Fome de Loba","Kelley Armstrong",DISPONIVEL,"Romance ",394,Rocco 
 4265,Correspondências,"Clarice Lispector",DISPONIVEL," ",336,Rocco 
 4266,"A Contagem Regressiva Matarese","Robert Ludlum",DISPONIVEL,"Romance ",582,Rocco 
 4267,"O Segredo das Marés","Joanne Harris",DISPONIVEL," ",355,Rocco 
 4268,"Olha para o céu; Frederico!","José Cândido de Carvalho",DISPONIVEL," ",119,Rocco 
 4269,"Clara Rosa Está Murchinha","Paula Danziger",DISPONIVEL,"E agora? ",118,Rocco 
 4270,Vésperas,"Adriana Lunardi",DISPONIVEL,"Contos / Literatura Brasileira ",128,Rocco 
 4271,Glenraven,"Marion Zimmer Bradley",DISPONIVEL," O que as amigas não esperavam é que toda aquela beleza escondesse o mais terrível perigo ",319,Rocco 
 4272,"A Filha do Restaurador de Ossos","Amy Tan",DISPONIVEL,"  ",364,Rocco 
 4273,"O Bigode","Emmanuel Carrère",DISPONIVEL," ",142,Rocco 
 4274,"Você me Pertence","Mary Higgins Clark",DISPONIVEL," ",284,Rocco 
 4275,"Como Obter o que Você Quer e Apreciar o que Tem"," John Gray, Ph.D.",DISPONIVEL,"Autoajuda / Religião e Espiritualidade ",340,Rocco 
 4276,"Perto das Trevas","William Styron",DISPONIVEL," ",91,Rocco 
 4277,"A Troca","Sandra Brown",DISPONIVEL,"Romance / Romance policial / Suspense e Mistério ",487,Rocco 
 4278,"Olhar acima do horizonte","Luiz Alberto Py",DISPONIVEL,"""  ",177,Rocco 
 4279,"A Rebelião dos Coelhos Mágicos","Ariel Dorfman",DISPONIVEL," Conseguirào os simpáticos e travessos coelhos arruinar os planos do arrogante rel dos lobos? ",64,Rocco 
 4280,"JUSTIÇA SELVAGEM","Phillip Margolin",DISPONIVEL," ",318,Rocco 
 4281,"Homem Bom é Homem Morto","Gaby Hauptmann",DISPONIVEL," ",294,Rocco 
 4282,"E o Bruno?","Aleksandar Hemon",DISPONIVEL," ",218,Rocco 
 4283,"AMOR; ETC.","Julian Barnes ",DISPONIVEL,"  ",204,Rocco 
 4284,"Comportamento Modelo","Jay McInerney",DISPONIVEL,"Romance ",319,Rocco 
 4285,"O Paciente","Michael Palmer",DISPONIVEL," ",370,Rocco 
 4286,"Durante Aquele Estranho Chá","Lygia Fagundes Telles",DISPONIVEL,"Biografia, Autobiografia, Memórias / Contos / Crônicas / Ficção / Literatura Brasileira ",206,Rocco 
 4287,Pique-Susto,"R. L. Stine",DISPONIVEL," Literatura Estrangeira ",116,Rocco 
 4288,"Nada Além Da Verdade","John T. Lescroart",DISPONIVEL," ",520,Rocco 
 4289,City,"Alessandro Baricco",DISPONIVEL,"Ficção / Literatura Estrangeira ",316,Rocco 
 4290,"A casa das Sete Irmãs","Elle Eggels",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",208,Rocco 
 4291,"A gaiola de Faraday","Bernardo Ajzenberg",DISPONIVEL," ",129,Rocco 
 4292,"Crime em dois tempos","Elizabeth George",DISPONIVEL,"  ",223,Rocco 
 4293,"A Escolha da Dra. Cole","Noah Gordon",DISPONIVEL,"brRomance / Literatura Estrangeira ",324,Rocco 
 4294,"A armadilha","Nicholas Evans",DISPONIVEL," ",408,Rocco 
 4295,"O Ataque dos Macacos","R. L. Stine",DISPONIVEL," ",104,Rocco 
 4296,"O Estranho","K. A. Applegate",DISPONIVEL," ",143,Rocco 
 4297,"O Segredo","K. A. Applegate",DISPONIVEL," ",141,Rocco 
 4298,"O Esquecido","K. A. Applegate",DISPONIVEL," ",141,Rocco 
 4299,"A Mutação","K. A. Applegate",DISPONIVEL," ",140,Rocco 
 4300,Lilith,"Alina Reyes",DISPONIVEL,"  ",220,Rocco 
 4301,"O Laço cor-de-rosa","Carlos Heitor Cony",DISPONIVEL,"  ",34,Rocco 
 4302,"O homem da fase 4","Richard Steinberg",DISPONIVEL,"  ",360,Rocco 
 4303,"Escola do Terror: o Fantasma de Primeiro de Abril","Tom B. Stone",DISPONIVEL," ",87,Rocco 
 4304,"Corações migrantes","Maryse Condé",DISPONIVEL," ",338,Rocco 
 4305,"Tia Lola veio ""visitar"" morar"," Julia Alvarez ",DISPONIVEL,"  ",144,Rocco 
 4306,"História da Filosofia Medieval","Luciano de Crescenzo",DISPONIVEL,""" ",147,Rocco 
 4307,"O homem da Chuva","Susie Moloney",DISPONIVEL," ",358,Rocco 
 4308,Papirofobia,"Susanna Tamaro",DISPONIVEL," ",40,Rocco 
 4309,"Como Criar Uma Vida Encantada","Victoria Moran",DISPONIVEL," ",257,Rocco 
 4310,"Tem um Fantasma no Banheiro dos Meninos","Tom B. Stone",DISPONIVEL," ",92,Rocco 
 4311,"Aula do Além","R. L. Stine",DISPONIVEL," Mas por que só Zac parecia tão assustado com ela?  ",108,Rocco 
 4312,"Nos passos de... Júlio César","Stéphanie Morillon",DISPONIVEL," Dividirá com outros personagens da época a incerteza quanto ao desempenho de novos papéis pelo Império Romano, conhecerá a vida deste chefe de estado visionário, chefe militar genial ou apenas de um homem ambicioso e cruel?Biografia, Autobiografia, Memórias ",127,Rocco 
 4313,Verdi,"Janell Cannon",DISPONIVEL," ",40,Rocco 
 4314,"Veludo Azul",Atkinson,DISPONIVEL," ",102,Rocco 
 4315,"Andarilho Espiritual","Hank Wesselman",DISPONIVEL,"  ",333,Rocco 
 4316,"No exército do faraó","Tobias wolff",DISPONIVEL," ",204,Rocco 
 4317,"O Demônio no Freezer","Richard Preston",DISPONIVEL,""" ",318,Rocco 
 4318,"OS 12 LAÇOS VITAIS","EDWARD M. HALLOWELL",DISPONIVEL,"  ",355,Rocco 
 4319,"O nariz de jupiter","Richard Scrimger",DISPONIVEL," ",200,Rocco 
 4320,"O Campo","Lynne McTaggart",DISPONIVEL,"Filosofia / Literatura Estrangeira / Medicina e Saúde / Não-ficção ",336,Rocco 
 4321,"Astrologia Real","Oscar Quiroga",DISPONIVEL,"  ",277,Rocco 
 4322,"O Golfinho","Sergio Bambarén",DISPONIVEL,"  ",93,Rocco 
 4323,"O Evento Cobra","Richard Preston",DISPONIVEL," ",414,Rocco 
 4324,"Visão de Túnel","Sara Paretsky",DISPONIVEL," ",392,Rocco 
 4325,"Grite; time!","Tom B. Stone",DISPONIVEL," ",94,Rocco 
 4326,"O Poço dos Desejos","David Baldacci",DISPONIVEL," ",325,Rocco 
 4327,"As Novas Doenças da Alma","Julia Kristeva",DISPONIVEL," ",240,Rocco 
 4328,"Corpos em Movimento","Mary Anne Mohanraj",DISPONIVEL," ",300,Rocco 
 4329,"Jackdaws ","Ken Follett",DISPONIVEL," Existem segredos a respeito do inimigo e das próprias Jackdaws que Flick não conhece, e à medida que o Dia D se aproxima este fato pode significar a diferença entre a vida e a morte ",488,Rocco 
 4330,"O Mundo Sagrado","Jeremy Hayward",DISPONIVEL,"  ",304,Rocco 
 4331,"O livro tibetano dos mortos","Guru Rinpoche",DISPONIVEL," ",224,Rocco 
 4332,City,"Alessandro Baricco",DISPONIVEL,"""  ",315,Rocco 
 4333,"A arte da paz","Morihei Ueshiba",DISPONIVEL,"Autoajuda ",132,Rocco 
 4334,"O Espírito do Tao","Thomas Cleary (org.)",DISPONIVEL," Ele apresenta os ensinamentos do Tao  te ChingFilosofia ",161,Rocco 
 4335,"Feed ",M.T.Anderson,DISPONIVEL,"  ",256,Rocco 
 4336,"I Ching","Tradutor Inglês Thomas Cleary",DISPONIVEL,"""Religião e Espiritualidade ",177,Rocco 
 4337,"O Princípio de Crueldade","Clément Rosset",DISPONIVEL,"Filosofia ",80,Rocco 
 4338,Congo,"Michael Crichton",DISPONIVEL," ",378,Rocco 
 4339,"O Pesadelo","R. L. Stine",DISPONIVEL,"Literatura Estrangeira ",110,Rocco 
 4340,"Quadribol Através dos Séculos","J.K. Rowling ",DISPONIVEL,"Fantasia / Ficção / Infantojuvenil / Jogos / Literatura Estrangeira ",64,Rocco 
 4341,"A Casa Pintada","John Grisham",DISPONIVEL,"Literatura Estrangeira ",394,Rocco 
 4342,"Como Conhecer Deus","Deepak Chopra",DISPONIVEL," ",386,Rocco 
 4343,"O Assistente de Vampiro","Darren Shan",DISPONIVEL,"Literatura Estrangeira ",176,Rocco 
 4344,"Túneis de Sangue","Darren Shan",DISPONIVEL," Será que ele vai conseguir escapar? Ou estará condenado a morrer nos obscuros túneis de sangue?Literatura Estrangeira ",169,Rocco 
 4345,"O assassino cego","Margaret Atwood",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",496,Rocco 
 4346,"As Consolações da Filosofia","Alain de Botton",DISPONIVEL," ",288,Rocco 
 4347,"A Ética Romântica e o Espírito do Consumismo Moderno","Colin Campbell",DISPONIVEL," ",400,Rocco 
 4348,"Sinfonia em Branco","Adriana Lisboa ",DISPONIVEL,"  ",224,Rocco 
 4349,"No Tempo das Borboletas"," Julia Alvarez ",DISPONIVEL," ",315,Rocco 
 4350,"Principe Sidarta - 3 - O Sorriso do Buda","Patricia Chendi",DISPONIVEL," ",199,Rocco 
 4351,"Tempo; Amor; Memória","Jonathan Weiner",DISPONIVEL,"Biologia / Filosofia / Psicologia ",322,Rocco 
 4352,"O Estado Jardim","Rick Moody",DISPONIVEL,"Romance ",199,Rocco 
 4353,"Exortação aos crocodilos","António Lobo Antunes",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",358,Rocco 
 4354,"Ninguém a Salvo","Richard Steinberg",DISPONIVEL," ",450,Rocco 
 4355,"Os estagios da meditação","XIV Dalai Lama (Tenzin Gyatso)",DISPONIVEL," O começo é a geração de um pensamento altuísta que seja estável firme como uma montanha, uma compaixão todo-abrangente, e uma sabedoria transcendente, livre de dualidade ",152,Rocco 
 4356,Gravelight,"Marion Zimmer Bradley",DISPONIVEL," ",397,Rocco 
 4357,"ELE ME TROCOU POR UMA PORCA CHAUVINISTA","Stella Florence",DISPONIVEL," ",142,Rocco 
 4358,"Pela Noite Adentro","Mary Higgins Clark",DISPONIVEL," ",135,Rocco 
 4359,"O Outro Lado da Noite: Filme Noir","A.C. Gomes de Mattos",DISPONIVEL,"Artes / Cinema ",255,Rocco 
 4360,"As Cinco Estações do Corpo","João Curvo",DISPONIVEL," ",156,Rocco 
 4361,"As Sete Leis Espirituais Para os Pais","Deepak Chopra",DISPONIVEL," ",152,Rocco 
 4362,"O Novato","R. L. Stine",DISPONIVEL," Seria aquele dia da realização de um sonho ou uma terrível ameaça contra sua própria vida?Literatura Estrangeira ",120,Rocco 
 4363,"Férias com os vampiros","Tom B. Stone",DISPONIVEL," ",120,Rocco 
 4364,Requiem,"Antonio Tabucchi",DISPONIVEL," Ficção ",112,Rocco 
 4365,"A idade perfeita","Roberto Controneo",DISPONIVEL," ",160,Rocco 
 4366,"O Livro das Cortesãs","Susan Griffin",DISPONIVEL," ",304,Rocco 
 4367,"Desejos Macabros","Diane Hoh",DISPONIVEL,"Infantojuvenil / Suspense e Mistério ",160,Rocco 
 4368,"O Triunfo da Vida","P. B. Shelley",DISPONIVEL,"  ",120,Rocco 
 4369,"Ficar ou Não Ficar","Tom Wolfe",DISPONIVEL," ",260,Rocco 
 4370,"O caminho da longevidade","Luiz Alberto Py",DISPONIVEL,"  ",156,Rocco 
 4371,"Ópera dos Fantoches","Autran Dourado",DISPONIVEL,"  ",196,Rocco 
 4372,"A Essência dos Ensinamentos de Buda","Thich Nhat Hanh ",DISPONIVEL,"  ",328,Rocco 
 4373,Brida,"Paulo Coelho",DISPONIVEL,"Literatura Brasileira / Autoajuda / Biografia, Autobiografia, Memórias / Religião e Espiritualidade / Romance ",221,Rocco 
 4374,"Pais Tóxicos","Susan Forward",DISPONIVEL,"Autoajuda / Psicologia ",324,Rocco 
 4375,Água-Marinha,"Alice Hoffman",DISPONIVEL,"Quase no fim da infância, durante um verão que bate o record de calor, Helena e Clara aprendem que a vida pode tomar rumos imprevisíveis, que a amizade é para sempre e que a magia pode ser encontrada em lugares em que menos se esperaInfantil / Infantojuvenil ",103,Rocco 
 4376,"A Captura ","K. A. Applegate",DISPONIVEL," ",137,Rocco 
 4377,"Principe Sidarta - 1 - A Fuga do Palácio ","Patricia Chendi",DISPONIVEL," ",224,Rocco 
 4378,"Alma Gêmea","Deepak Chopra",DISPONIVEL," ",224,Rocco 
 4379,"Alma Gêmea","Deepak Chopra",DISPONIVEL," ",224,Rocco 
 4380,"Espreita a escuridão","Alice Blanchard",DISPONIVEL,"  ",361,Rocco 
 4381,"O Alquimista","Paulo Coelho",DISPONIVEL,"Literatura Brasileira / Romance / Autoajuda / Ficção / Filosofia / Religião e Espiritualidade ",247,Rocco 
 4382,"Não Faça Tempestade Em Copo D'Água No Amor","Richard Carlson",DISPONIVEL," ",360,Rocco 
 4383,"Bichos-papões anônimos","Pascal Bruckner",DISPONIVEL," ",126,Rocco 
 4384,"Homens São de Marte; Mulheres São de Vênus - Livro dos Dias"," John Gray, Ph.D.",DISPONIVEL,"Autoajuda ",360,Rocco 
 4385,"A Temporada das Marchas","Daniel Silva",DISPONIVEL,"Romance policial / Suspense e Mistério ",345,Rocco 
 4386,"O Planeta Simbiótico","Lynn Margulis",DISPONIVEL," ",140,Rocco 
 4387,Backlash,"Susan Faludi",DISPONIVEL," ",460,Rocco 
 4388,"Admirável Brasil Novo ","Ruy Tapioca",DISPONIVEL,"  ",283,Rocco 
 4389,"O efeito Mozart","Don Campbell",DISPONIVEL," ",311,Rocco 
 4390,"As Valkírias","Paulo Coelho",DISPONIVEL,"Autoajuda / Ficção / Religião e Espiritualidade / Romance ",240,Rocco 
 4391,"encore provence","Peter Mayle",DISPONIVEL," ",213,Rocco 
 4392,"Croquê humano","Kate Atkinson",DISPONIVEL,"  ",363,Rocco 
 4393,"Sangue e Ouro","Anne Rice",DISPONIVEL," Ficção / Horror / Romance / Literatura Estrangeira ",484,Rocco 
 4394,"nos passos de moisés","pierre chavot",DISPONIVEL,""" ",125,Rocco 
 4395,"O Espelho Enterrado","Carlos Fuentes",DISPONIVEL," ",398,Rocco 
 4396,"Lago do lodo","Tom B. Stone",DISPONIVEL," Infantil ",96,Rocco 
 4397,"A Política do Rebelde","Michel Onfray",DISPONIVEL," ",291,Rocco 
 4398,Trupp,"Janell Cannon",DISPONIVEL," ",42,Rocco 
 4399,"No Ardor das Chamas","Sara Paretsky",DISPONIVEL," ",373,Rocco 
 4400,"O irmão bom","Chris Offutt",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",335,Rocco 
 4401,"Casa de Família","Bonnie Burnard",DISPONIVEL,"Ficção / Literatura Estrangeira ",304,Rocco 
 4402,Madrugada,"Edla van Steen",DISPONIVEL,"Madrugada é daqueles livros que os leitores torcem para virar filme! ",138,Rocco 
 4403,"Nao faca temepstade em copo d'agua para adolescentes","Richard Carlson",DISPONIVEL,"  ",387,Rocco 
 4404,"O Segredo do Xamã","Douglas Gillette",DISPONIVEL," ",340,Rocco 
 4405,"Círculo de Xamãs","Olga Kharitidi",DISPONIVEL,"  ",223,Rocco 
 4406,"Não faça tempestade em copo d'água Para Adolescentes","Richard Carlson",DISPONIVEL," ",392,Rocco 
 4407,"O Monge no Jardim","Robin Marantz Henig",DISPONIVEL,"Biografia, Autobiografia, Memórias / Biologia / História / Não-ficção ",256,Rocco 
 4408,"Harry Potter e a Câmara Secreta","J.K. Rowling ",DISPONIVEL,"Fantasia / Infantojuvenil / Literatura Estrangeira / Aventura / Ficção / Romance / Suspense e Mistério ",252,Rocco 
 4409,"O Clube do Terror","R. L. Stine",DISPONIVEL," Por que ela sempre usa nomes verdadeiros? E, quem será a próxima vítima desta vez?Literatura Estrangeira ",116,Rocco 
 4410,"Amor em Dose Dupla","R. L. Stine",DISPONIVEL,"Literatura Estrangeira ",136,Rocco 
 4411,"Na Margem do Rio Piedra Eu Sentei e Chorei","Paulo Coelho",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Brasileira / Romance ",236,Rocco 
 4412,"O Físico","Noah Gordon",DISPONIVEL,"Romance / Literatura Estrangeira ",592,Rocco 
 4413,Xamã,"Noah Gordon",DISPONIVEL,"Romance / Literatura Estrangeira ",488,Rocco 
 4414,"O último judeu","Noah Gordon",DISPONIVEL,"  ",378,Rocco 
 4415,"Um Grande Garoto","Nick Hornby",DISPONIVEL," ",268,Rocco 
 4416,"Cinco Casos","Michael Crichton",DISPONIVEL," ",192,Rocco 
 4417,"As 48 Leis do Poder","Robert Greene",DISPONIVEL,"Autoajuda / Psicologia ",458,Rocco 
 4418,"Vittorio; O Vampiro","Anne Rice",DISPONIVEL,"Ficção / Literatura Estrangeira / Terror ",208,Rocco 
 4419,"O coronel e o Lobisomem","José Cândido de Carvalho",DISPONIVEL,"Literatura Brasileira / Ficção / Romance ",313,Rocco 
 4420,"O Vampiro Armand","Anne Rice",DISPONIVEL,"Ficção / Horror / Romance ",372,Rocco 
 4421,"A Identidade Bourne","Robert Ludlum",DISPONIVEL,"Crime / Ficção / Literatura Estrangeira / Suspense e Mistério ",510,Rocco 
 4422,"A Verdade ou a Morte","Diane Hoh",DISPONIVEL," Ou não?Infantojuvenil / Literatura Estrangeira / Suspense e Mistério / Terror ",102,Rocco 
 4423,"Os Confins do Mundo","Valerio Massimo Manfredi",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",412,Rocco 
 4424,"Invenção e Memória","Lygia Fagundes Telles",DISPONIVEL,"Literatura Brasileira ",125,Rocco 
 4425,"É Isto um Homem?","Primo Levi",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",175,Rocco 
 4426,"clara rosa quer uma chance","Paula Danziger",DISPONIVEL," Será que Clara vai conseguir sair dessa encrenca, limpar o quarto e evitar o encontro com o namorado de sua mãe? ",111,Rocco 
 4427,"Eu sei; mas não devia","Marina Colasanti",DISPONIVEL," ",192,Rocco 
 4428,"A Vida dos Insetos","Victor Pelevin",DISPONIVEL," ",188,Rocco 
 4429,"O Trílio de Sangue","Julian May",DISPONIVEL," ",420,Rocco 
 4430,"O Tapete do Rei Salomão","Ruth Rendell",DISPONIVEL," ",343,Rocco 
 4431,"Perversa Viúva","Jayne Ann Krentz",DISPONIVEL,"Romance ",252,Rocco 
 4432,"A Noite em Questão","Tobias Wolff",DISPONIVEL," ",200,Rocco 
 4433,"Harry Potter e o Prisioneiro de Azkaban","J.K. Rowling ",DISPONIVEL,"Fantasia / Literatura Estrangeira / Ficção / Aventura / Infantojuvenil / Romance / Suspense e Mistério ",394,Rocco 
 4434,"O cisne","Gudberguer Bergsson",DISPONIVEL," ",191,Rocco 
 4435,"A Sonâmbula","Diane Hoh",DISPONIVEL,"Infantojuvenil / Suspense e Mistério ",137,Rocco 
 4436,"Bela Gentileza","Diane Hoh",DISPONIVEL,"Infantojuvenil / Suspense e Mistério ",140,Rocco 
 4437,"Nos Mínimos Detalhes","Alain de Botton",DISPONIVEL," ",240,Rocco 
 4438,"Um Anel Muito Especial","Jayne Ann Krentz",DISPONIVEL,"Romance ",285,Rocco 
 4439,"O esqueleto no skate ","Tom B. Stone ",DISPONIVEL," ",116,Rocco 
 4440,"Mentes extraordinárias","Howard Gardner",DISPONIVEL," ",180,Rocco 
 4441,"Vós: Uma Auto-Ajuda da Maldade","Toni Marques",DISPONIVEL,"  ",148,Rocco 
 4442,"Do Amor Ausente","Paulo Roberto Pires",DISPONIVEL," ",132,Rocco 
 4443,"Um amor verdadeiro","Anna Quindlen",DISPONIVEL," Alguns comprimidos a mais podem livrar Kate para sempre das dores - mas quem poderia executar a terrível tarefa?  ",319,Rocco 
 4444,"Réquiem Para Monalisa","Antenor Pimenta",DISPONIVEL,""" ",192,Rocco 
 4445,"O Ônibus Mágico","Joanna Cole",DISPONIVEL," Hoje já ilustrou mais de duas dúzias de livros e mora com a mulher e os filhos na mesma cidade da família Cole! ",44,Rocco 
 4446,"História das coisas banais","Daniel Roche",DISPONIVEL,"História / Não-ficção ",395,Rocco 
 4447,"O Vampiro Armand","Anne Rice",DISPONIVEL,"Romance / Ficção / Horror ",372,Rocco 
 4448,Kalki,"Gore Vidal",DISPONIVEL," ",272,Rocco 
 4449,"Vittorio; o Vampiro","Anne Rice",DISPONIVEL,"Ficção / Literatura Estrangeira / Terror ",208,Rocco 
 4450,"A verdade pura e simples","David Baldacci",DISPONIVEL,"  ",452,Rocco 
 4451,"Sem fraude nem favor","Jurandir Freire Costa",DISPONIVEL,"Ensaios ",224,Rocco 
 4452,"A Rede da Flor","Lisa See",DISPONIVEL,"Ficção / Romance policial ",346,Rocco 
 4453,"A Caixa de Santinhos de Esperanza","Maria Amparo Escandón",DISPONIVEL,"  ",216,Rocco 
 4454,"Estranha aparição","Luiza Lobo",DISPONIVEL,"  ",159,Rocco 
 4455,"Mente; Linguagem e Sociedade","John R. Searle",DISPONIVEL,""" Searle ",160,Rocco 
 4456,"Hora de Mudar","Richard Bandler",DISPONIVEL,"Autoajuda / Psicologia ",178,Rocco 
 4457,"Os anos com Laura Díaz","Carlos Fuentes",DISPONIVEL," ",470,Rocco 
 4458,"Do mais longe do esquecimento","Patrick Modiano",DISPONIVEL,"  ",118,Rocco 
 4459,"A ERA DOURADA","Gore Vidal",DISPONIVEL,"Aventura / Biografia, Autobiografia, Memórias / Crônicas / Drama / Ficção / História / Literatura Estrangeira / Romance ",512,Rocco 
 4460,"A Evolução de Jane"," Cathleen Schine ",DISPONIVEL," ",203,Rocco 
 4461,Mulher,"Natalie Angier",DISPONIVEL," ",402,Rocco 
 4462,"Promessas que os amantes fazem quando já é tarde demais ","Darian Leader",DISPONIVEL,"  ",232,Rocco 
 4463,"Luzes no dia-a-dia","Dan Millman",DISPONIVEL," ",367,Rocco 
