index,titulo,autor,disp,genero,n_pags,editora 
 71,"Estas Verdades","Jill Lepore",DISPONIVEL,"História / Literatura Estrangeira / Não-ficção ",1072,Intrínseca 
 72,Adultos," Emma Jane Unsworth ",DISPONIVEL,"Drama / Ficção / Humor, Comédia / Literatura Estrangeira / Romance ",400,Intrínseca 
 73,Pachinko,"Min Jin Lee",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",528,Intrínseca 
 74,"A Troca","Beth O'Leary",DISPONIVEL,"Chick-lit / Ficção / Romance ",352,Intrínseca 
 75,"A cachorra","Pilar Quintana",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",160,Intrínseca 
 76,"Vamos Sonhar Juntos","Papa Francisco",DISPONIVEL,"Literatura Brasileira / Não-ficção / Religião e Espiritualidade ",144,Intrínseca 
 77,"O Esplêndido e o Vil","Erik Larson",DISPONIVEL,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Não-ficção / Política / Romance policial ",324,Intrínseca 
 78,"Mataram Marielle","Chico Otávio",DISPONIVEL,"Literatura Brasileira / Não-ficção ",224,Intrínseca 
 79,"Royal City: Segredos em família","Jeff Lemire",DISPONIVEL,"Ficção / HQ, comics, mangá / Literatura Estrangeira ",160,Intrínseca 
 80,"O Retorno","Nicholas Sparks",DISPONIVEL,"Ficção / Romance ",288,Arqueiro 
 81,"Princípios do Estrategista","Felipe Miranda",DISPONIVEL,"Economia, Finanças / Literatura Brasileira / Negócios e Empreendedorismo ",320,Intrínseca 
 82,"Nada Ortodoxa","Deborah Feldman",DISPONIVEL,"Ficção ",304,Intrínseca 
 83,"Alexander Hamilton"," Ron Chernow ",DISPONIVEL,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Não-ficção ",896,Intrínseca 
 84,"Box Five Nights at Freddys (Trilogia Completa)","Scott Cawthon",DISPONIVEL,"Jogos / Jovem adulto / Literatura Estrangeira ",992,Intrínseca 
 85,"BOX NÃO SE APEGA; NÃO","ISABELA FREITAS",DISPONIVEL,"Jovem adulto / Literatura Brasileira / Não-ficção ",1500,Intrínseca 
 86,"Não é errado ser feliz","Linda Holmes",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",304,Intrínseca 
