index,titulo,autor,n_pags,editora,genero 
 2452,"Fator Nerd: Contatos Imediatos do 1º Amor","Andy Robb",303,Galera,"  " 
 2453,Limiar,"Jessica Warman",392,Galera,"Ficção / Literatura Estrangeira / Suspense e Mistério " 
 2454,Revelação,"Drew Karpyshyn",294,Galera,"Ficção científica " 
 2455,"O Último Guardião","Eoin Colfer",367,Galera," Será que nosso anti-herói conseguirá a ajuda de certa capitã nesta missão?Infantojuvenil / Aventura / Ficção " 
 2456,"Outras Palavras Para O Amor","Lorraine Zago Rosenthal",368,Galera," " 
 2457,Rome,"David Gibbins",352,Galera,"|Literatura Estrangeira " 
 2458,Fallen,"Lauren Kate",401,Galera," O incrível desta história é que os dois personagens principais não se dão muito bem no inicio, Luce sempre mostra interesses por Daniel, mas ele se mostra difícil, ela o ama e ele a ama da mesma maneira? Eles nasceram um para o outro? O amor vencerá barreiras? A paixão será mais forte do que o próprio demônio?Fantasia / Romance / Ficção / Jovem adulto / Literatura Estrangeira " 
 2459,"Tamanho 42 e Pronta Para Arrasar","Meg Cabot",399,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2460,"Tempo em Fúria","Myra McEntire",322,Galera," " 
 2461,"Espiãs Se Arriscam em Dobro","Ally Carter",288,Galera,"  " 
 2462,"Strawberry Fields Forever","Richard Zimler",272,Galera," " 
 2463,Eva,"Anna Carey",288,Galera,"Ficção / Literatura Estrangeira / Distopia / Jovem adulto " 
 2464,Êxtase,"Lauren Kate",346,Galera,"Ficção / Romance / Fantasia / Literatura Estrangeira " 
 2465,"Filhas da Escuridão","L. J. Smith",240,Galera,"Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 2466,"Dias Sombrios","Derek Landy",362,Galera," É claro que há uma nova ameaça à nossa heroína Valquíria, além do fato de que o mal irrevogável está para chegar e destruir o nosso mundo! (De verdade!) Será que Ardiloso Cortês conseguirá escapar da dimensão dos Sem-Rosto? O problema maior será quando voltar, caso consiga fugir! " 
 2467,"A Fúria","L. J. Smith",236,Galera,"Ficção / Literatura Estrangeira / Romance / Jovem adulto " 
 2468,Meia-Noite,"L. J. Smith",400,Galera,"Jovem adulto / Romance / Literatura Estrangeira / Ficção " 
 2469,"Anjo Mecânico","Cassandra Clare",392,Galera,"Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira " 
 2470,"O Ramo de Prata","Rosemary Sutcliff",320,Galera," " 
 2471,"Assassin's Creed: A Cruzada Secreta","Oliver Bowden",336,Galera,"Fantasia / Ficção " 
 2472,"A Trilha da Lua Cheia","Tabajara Ruas",256,Galera,"Fantasia " 
 2473,"A Prisioneira","L. J. Smith",240,Galera,"Jovem adulto / Ficção / Romance / Literatura Estrangeira " 
 2474,"Codinome Cassandra","Meg Cabot",286,Galera,"Ficção / Literatura Estrangeira " 
 2475,"The Walking Dead","Robert Kirkman",361,Galera,"Ficção / Literatura Estrangeira " 
 2476,"A Última Princesa","Fábio Yabu",128,Galera," " 
 2477,"Tom Coração Leal e a Terra das Histórias Sombrias","Ian Beck",336,Galera," " 
 2478,"Garotas em Festa","Cecily von Ziegesar",272,Galera," Mesmo se aparecer alguém mais interessante?Literatura Estrangeira " 
 2479,"Meu livrinho vermelho","Rachel Kauder Nalebuff",256,Galera," " 
 2480,"SEGREDOS DE AMOR; NAMORO E PAIXÃO (VOL. 3)","Leo Cunha",128,Galera," " 
 2481,"Gregor e as Marcas Secretas","Suzanne Collins",304,Galera,"Infantojuvenil / Literatura Estrangeira " 
 2482,"Nós Somos os Senhores do Clima","Tim Flannery ",272,Galera,"  " 
 2483,"Maçãs Envenenadas","Lily Archer",320,Galera," " 
 2484,"Battlefield 3","Andy McNab",350,Galera," " 
 2485,"Espiãs Também Se Enganam","Ally Carter",288,Galera,"Ficção / Literatura Estrangeira " 
 2486,"Diários de Stefan - Sede de Sangue","L. J. Smith",176,Galera," Stefan sabe que ele deve salvar seu irmão, mas vai custar-lhe o seu novo amor?Jovem adulto / Ficção / Romance / Literatura Estrangeira " 
 2487,"Garotos Malditos","Santiago Nazarian",256,Galera," " 
 2488,Bum!,"Mark Haddon",176,Galera,"Infantojuvenil " 
 2489,"Leviatã: A Missão Secreta","Scott Westerfeld",368,Galera,"Fantasia " 
 2490,"Amada Imortal","Cate Tiernan",280,Galera,"Fantasia / Jovem adulto / Literatura Estrangeira / Romance " 
 2491,"Zumbis x Unicórnios","Holly Black",388,Galera,"Contos / Fantasia / Ficção / Literatura Estrangeira " 
 2492,"Psycho Killer","Cecily von Ziegesar",322,Galera,"Chick-lit / Ficção / Jovem adulto / Literatura Estrangeira " 
 2493,"Resident Evil","John Shirley",304,Galera," " 
 2494,"Segredos da Minha Vida em Hollywood: Princesa Paparazzi","Jen Calonita",336,Galera," Será?  " 
 2495,"Artemis Fowl","Eoin Colfer",132,Galera," Então quem sabe os caminhos da fada Holly e do gênio do crime Artemis Fowl não estejam prestes a se cruzar outra vez? " 
 2496,Mentiras,"Michael Grant",378,Galera," " 
 2497,"As 17 cores do branco","Lauz Raul Machado",125,Galera,""" " 
 2498,"Diablo III: A Ordem","Nate Kenyon",350,Galera," O autor, Nate Kenyon, é finalista do prêmio Bram Stoker, da Associação de Escritores de Terror " 
 2499,"Marés da Guerra","Christie Golden",350,Galera,"Ficção / Literatura Estrangeira " 
 2500,"Escolhas de Formatura","Diana Peterfreund",432,Galera,"Literatura Estrangeira " 
 2501,Renegado,"Oliver Bowden",350,Galera,"Ficção " 
 2502,"Cinema Pirata","Cory Doctorow",432,Galera," " 
 2503,"Amor Contra o Tempo","Myra McEntire",368,Galera,"Ficção / Literatura Estrangeira " 
 2504,"O Acaçá de Cada Um","Celso Sisto",48,Galera,"  " 
 2505,"Gregor e a Segunda Profecia","Suzanne Collins",287,Galera,"Infantojuvenil / Literatura Estrangeira " 
 2506,"Diários de Stefan - Sede de sangue","L. J. Smith",176,Galera," Stefan sabe que ele deve salvar seu irmão, mas vai custar-lhe o seu novo amor?Jovem adulto / Ficção / Romance / Literatura Estrangeira " 
 2507,Mwindo,"André Diniz",64,Galera," " 
 2508,Feios,"Scott Westerfeld",416,Galera,"Literatura Estrangeira / Distopia / Ficção científica / Jovem adulto " 
 2509,"Sociedade Secreta: Escolhas de Formatura","Diana Peterfreund",432,Galera,"Chick-lit " 
 2510,"A História de Os Noivos","Umberto Eco",104,Galera,"Literatura Estrangeira " 
 2511,"Cidade dos Ossos","Cassandra Clare",461,Galera,"Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira " 
 2512,"Almas Sombrias","L. J. Smith",448,Galera," Qual dos irmãos Salvatore Elena realmente quer?Romance / Ficção / Jovem adulto / Literatura Estrangeira " 
 2513,"A Rainha da Fofoca - Fisgada","Meg Cabot",448,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2514,"Assassin's Creed: Renascença","Oliver Bowden",378,Galera,"Aventura / Ficção " 
 2515,Tormenta,"Lauren Kate",392,Record," E se a versão dele do passado não é bem como as coisas realmente aconteceram e se a Luce era para estar realmente com outra pessoa?Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 2516,"Vampiro Secreto","L. J. Smith",224,Galera,"Literatura Estrangeira " 
 2517,"Emily; The Strange: Os Dias Perdidos","Rob Reger",278,Galera,"Ficção / Suspense e Mistério " 
 2518,Fome,"Michael Grant",532,Galera,"  " 
 2519,"Quando Cai o Raio","Meg Cabot",272,Galera," Certo?Ficção / Literatura Estrangeira " 
 2520,"Hex Hall","Rachel Hawkins",303,Galera," Literatura Estrangeira / Romance " 
 2521,"Os Radley","Matt Haig",432,Galera," " 
 2522,Xeque-Mate,"Malorie Blackman",496,Galera," " 
 2523,"Amores Infernais","Scott Westerfeld",288,Galera,"Contos / Literatura Estrangeira / Romance / Suspense e Mistério " 
 2524,"Otolina na escola","Chris Riddell",175,Galera," " 
 2525,"A Fera","Alex Flinn",320,Galera,"Jovem adulto " 
 2526,Paixão,"Lauren Kate",378,Record,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 2527,"Liberte Meu Coração","Meg Cabot",404,Galera,"Ficção / Literatura Estrangeira / Romance " 
 2528,"Eu Sempre Vou Te Amar","Cecily von Ziegesar",404,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2529,"A Guerra da Pólvora Negra","Naomi Novik",336,Galera," " 
 2530,Hamlet,"William Shakespeare",216,Galera," " 
 2531,"Romeu e Julieta","William Shakespeare ",216,Galera," " 
 2532,"A Profecia de Nostradamus","Theresa Breslin",406,Galera," Agora cabe a Mélisande cumprir a profecia final de Nostradamus, mas terá ela a coragem para levar sua missão até o fim? " 
 2533,"Eu Sou Um Gênio de Maldade Inenarrável e Quero Ser Seu Presidente de Turma","Josh Lieb",328,Galera,"  " 
 2534,"Rostinho Bonito","Mary Hogan",240,Galera,"  " 
 2535,"Garota dos Sonhos ","Lauren Mechling",400,Galera," " 
 2536,"Diários de Stefan - Origens","L. J. Smith",192,Galera,"Jovem adulto / Ficção / Romance / Literatura Estrangeira " 
 2537,"Glee - O Início","Sophia Lowell",224,Galera,"Humor, Comédia / Infantojuvenil " 
 2538,"Gregor e a Profecia de Sangue","Suzanne Collins",336,Galera," Agora, Gregor, Boots, e um inesperado acompanhante precisam enfrentar uma nova viagem, que poderá colocar em risco muito mais do que a vida dos habitantes do SubterrâneoInfantojuvenil / Literatura Estrangeira " 
 2539,"O Complexo de Atlântida","Eoin Colfer",381,Galera," Será que sua aliada, a capitã Holly Short, consegue trazer o verdadeiro Artemis de volta  antes que esses robôs misteriosos destruam a cidade e todas as criaturas que vivem lá?Infantojuvenil " 
 2540,"Pequeno Irmão","Cory Doctorow",416,Galera," " 
 2541,"A Iniciação","L. J. Smith",255,Galera," Jovem adulto / Romance / Ficção / Literatura Estrangeira " 
 2542,"As Irmãs Sloane ","Anna Carey",224,Galera," " 
 2543,"99 filmes clássicos para apressadinhos","Henrik Lange",208,Galera,"  " 
 2544,"Cowboys & Aliens","Fred Van Lente",100,Galera,"  " 
 2545,"Cowboys & Aliens","Joan D. Vinge",368,Galera,"  " 
 2546,"Uma Ilha no Oceano","Annika Thor",237,Galera,"Ficção / Literatura Estrangeira / Romance " 
 2547,"Sob a Luz da Lua","Andrea Cremer",462,Galera,"Ficção / Literatura Estrangeira " 
 2548,"L.A. Candy","Lauren Conrad",316,Galera," " 
 2549,"Melhores Amigas Para Sempre","Meg Cabot",176,Galera,"  " 
 2550,"Chitty Chitty Bang Bang: o carro mágico","Ian Fleming",129,Galera," " 
 2551,Necropólis,"Anthony Horowitz",383,Galera," " 
 2552,"O Protocolo Soberano","Mark Walden",320,Galera," " 
 2553,"A Mecânica do Coração","Mathias Malzieu",192,Galera," " 
 2554,"12 de setembro ","Jean-Christophe Ogier ",208,Galera," " 
 2555,"Com Louvor","Cecily von Ziegesar",320,Galera,"  SeventeenJovem adulto / Literatura Estrangeira / Romance " 
 2556,"Era uma vez à meia-noite",Aguiar,224,Galera," " 
 2557,"Cidade dos Anjos Caídos","Cassandra Clare",364,Galera,"Aventura / Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira " 
 2558,"Marcelo no Mundo Real","Francisco X. Stork ",334,Galera,"  " 
 2559,"O Verão Que Mudou Minha Vida","Jenny Han",288,Galera,"Literatura Estrangeira / Romance " 
 2560,Footloose,"Rudy Josephs",240,Galera," " 
 2561,"Beijos Infernais (Kisses from hell)","Kristin Cast",272,Galera,"Luz do Sol - Richelle MeadRessuscita-me - Alyson NoëlAcima - Kristin CastCaçando Kat - Kelley ArmstrongLilith - Francesca Lia BlockContos / Literatura Estrangeira / Romance / Suspense e Mistério " 
 2562,"Ricardo III","William Shakespeare ",216,Galera,"  Gótico, dinâmico e imaginativo, é uma pequena versão lindamente ilustrada do corcunda mal encarado de Shakespeare  Mariella Frostrup, The Book Show, SkyArts " 
 2563,"O MISTÉRIO DO FEITICEIRO - SHERLOCK HOLMES E OS IRREGULARES DE BAKER STREET; VOL. 2","Tracy Mack",192,Galera," " 
 2564,"Cidade de Vidro","Cassandra Clare",474,Galera,"Aventura / Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Drama / Ficção / Romance " 
 2565,"Formaturas Infernais (Prom nights from hell)","Meg Cabot",320,Galera,"Contos / Literatura Estrangeira / Romance / Suspense e Mistério " 
 2566,"Só Para Convidados","Kieran Scott",304,Galera," E agora?Ficção / Literatura Estrangeira " 
 2567,"A Fúria","L. J. Smith",240,Galera,"Suspense e Mistério / Romance / Fantasia / Jovem adulto " 
 2568,"Reunião Sombria","L. J. Smith",256,Galera," Será que ele irá atender ao chamado inesperado que o colocará novamente no caminho de Elena - e daqueles que ela ama?Jovem adulto / Ficção / Romance / Literatura Estrangeira " 
 2569,"A modelo do ano","Carol Alt",304,Galera," " 
 2570,"Tênis ou Tiaras","Grace Dent",240,Galera," Mas qual a graça de ouvir uma banda que ninguém conhece? " 
 2571,"Ela Foi Até o Fim","Meg Cabot",399,Galera," Será que ela vai sobreviver a está aventura? E será que, no final, encontrará o verdadeiro amor?Ficção / Literatura Estrangeira " 
 2572,"O vampiro não está tão afim de você","Vlad Mezrich",180,Galera," " 
 2573,Cupcake,"Rachel Cohn",288,Galera,"  " 
 2574,"Garota de Sorte","Cecily von Ziegesar",254,Galera," E agora? Façam suas apostas!Literatura Estrangeira " 
 2575,"Casaco Marrom","Giselle Nogueira",144,Galera,"  " 
 2576,"O Diário da Princesa","Meg Cabot",284,Galera,"Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 2577,"Princesa Sob os Refletores","Meg Cabot",251,Galera,"Jovem adulto / Literatura Estrangeira / Romance " 
 2578,"Dezesseis Luas","Kami Garcia",490,Galera,"Fantasia / Literatura Estrangeira " 
 2579,"TOM CORAÇÃO LEAL","Ian Beck",272,Galera,"Aventura " 
 2580,"Barbara Debaixo Da Chuva","NILMA GONÇALVES LACERDA",112,Galera," " 
 2581,"O Quilombo Orum Aiê","André Diniz",110,Galera,"HQ, comics, mangá " 
 2582,Gone,"Michael Grant",518,Galera,"Ficção científica / Literatura Estrangeira " 
 2583,"Os Diários de Carrie","Candace Bushnell",400,Galera," " 
 2584,"Academia de Princesas","Shannon Hale",272,Galera," " 
 2585,"Louras Zumbis","Brian James",240,Galera," Quando seu sonho de ser uma delas começa a se tornar realidade ela vê que isso pode ser um pesadelo!Literatura Estrangeira / Romance / Suspense e Mistério " 
 2586,"Principe da Pérsia","Jordan Mechner",208,Galera,"  " 
 2587,"A Águia da Nona","Rosemary Sutcliff",336,Galera," " 
 2588,"Segredos da Minha Vida em Hollywood - Negócios de Família","Jen Calonita",352,Galera," Será que Kailtlin é capaz de manter seu namorado, seu trabalho e sua sanidade diante dessa estrela em ascensão?  " 
 2589,"90 Livros Clássicos para Apressadinhos","Henrik Lange",192,Galera," " 
 2590,"A Garota Nova","Meg Cabot",191,Galera,"  " 
 2591,Fallen,"Lauren Kate",406,Galera,"Fantasia / Ficção / Jovem adulto / Romance / Literatura Estrangeira " 
 2592,"Gregor e a Segunda Profecia","Suzanne Collins",288,Galera,"Infantojuvenil / Literatura Estrangeira " 
 2593,Anoitecer,"L. J. Smith",444,Galera,"Jovem adulto / Ficção / Romance / Literatura Estrangeira " 
 2594,"Dominando a Tempestade","Salamanda Drake",272,Galera," " 
 2595,"Garota Quase 15 anos; Paquerando pela Inglaterra","Sue Limb",256,Galera," " 
 2596,"Garota em Tentação","Cecily von Ziegesar",317,Galera," Callie já preparou sua fantasia de Cinderela para tentar reconquistar o coração do rapaz, mas poderá convencê-lo de que ela é sua princesa antes da meia noite? Literatura Estrangeira " 
 2597,"Os Sem-Rosto","Derek Landy",350,Galera," " 
 2598,"O Círculo de Ouro","Guillaume Prévost",384,Galera," " 
 2599,"A Misteriosa Sociedade Benedict","Trenton Lee Stewart",392,Galera,"Literatura Estrangeira " 
 2600,"Coração Negro","Justin Somper",464,Galera," " 
 2601,"Pérolas ou Pegas","Grace Dent",224,Galera," " 
 2602,"Espiã Para Sempre","Ally Carter",256,Galera,"Ficção / Literatura Estrangeira " 
 2603,"O Nome Deste Livro É Segredo","Pseudonymous Bosch",336,Galera," " 
 2604,"A Casa dos Muitos Caminhos","Diana Wynne Jones",304,Record," " 
 2605,"Pânico na estrada","Eoin Colfer",96,Galera," " 
 2606,"O Vingador","Andy McNab",336,Galera," " 
 2607,"O Trono de Jade","Naomi Novik",384,Galera," " 
 2608,"O Diário da Princesa","Meg Cabot",208,BestBolso,"Romance / Ficção / Jovem adulto / Drama / Literatura Estrangeira " 
 2609,"O Estranho Sumiço do Morcego","Tania Zagury",72,Galera," " 
 2610,"O livro perigoso para garotos (de bolso)","Conn Iggulden",430,Galera," " 
 2611,"O Livro Perigoso para Garotos (de bolso)","Conn Iggulden",430,Galera," " 
 2612,"Cidade dos Ossos","Cassandra Clare",476,Galera,"Aventura / Fantasia / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Ficção / Pedagogia " 
 2613,Liga-me,"Sarah Mlynowski",240,Chá," Mas a quem melhor dar ouvidos do que ao seu futuro ""eu""? " 
 2614,"Sob a Rosa","Diana Peterfreund",448,Galera,"Aventura / Literatura Estrangeira " 
 2615,"Nick & Norah","Rachel Cohn",224,Galera,"Literatura Estrangeira " 
 2616,"Os Últimos Dias","Scott Westerfeld",336,Galera," " 
 2617,"Pegando Fogo!","Meg Cabot",304,Galera," " 
 2618,"Só Podia Ser Você: O Início","Cecily von Ziegesar",420,Galera," 11 - Não me EsqueçaChick-lit / Ficção / Literatura Estrangeira " 
 2619,"Brincando com Fogo","Derek Landy",320,Galera," É claro que o detetive-esqueleto está pronto para impedir que o Mal triunfe, mas conseguirá proteger os que estão do seu lado? " 
 2620,"Sidarta para jovens","Bruno Pacheco",64,Galera," " 
 2621,"O Despertar","L. J. Smith",240,Galera,"Jovem adulto / Ficção / Romance / Literatura Estrangeira / Fantasia / Suspense e Mistério " 
 2622,"Poseur - Brigas; Garotos e Estilo","Rachel Maude",339,Galera," " 
 2623,"Princesa Para Sempre","Meg Cabot",448,Galera,"Com o futuro de Genovia e o seu próprio balançando de maneira incerta, Mia tem algumas decisões a tomar: Qual faculdade? Qual rapaz? Como escolher? Especialmente quando sua decisão pode não determinar apenas os próximos quatro anos, mas para sempre!Ficção / Jovem adulto / Literatura Estrangeira " 
 2624,"Sr. Gum e o Biscoito Bilionário","Andy Stanton",192,Galera," " 
 2625,"Capitão de Sangue","Justin Somper",496,Galera," " 
 2626,"O Monstro da Lagoa de Abaeté","Anna Lee",112,Galera," " 
 2627,Exclusivo,"Kieran Scott",272,Galera,"Chick-lit / Ficção / Jovem adulto / Literatura Estrangeira " 
 2628,"O livro negro dos segredos","F. E. Higgins",272,Galera," " 
 2629,"Criança pensa","Lya Luft",64,Galera," Com sensibilidade e bom humor, Lya Luft e Eduardo Luft, que é filósofo, abrem um espaço para a filosofia e mostram que criança pensa, sim!  " 
 2630,"O Confronto","L. J. Smith",224,Galera,"Suspense e Mistério / Romance / Fantasia " 
 2631,"Tamanho 44 Também Não é Gorda","Meg Cabot",415,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2632,"Derby Girl","Shauna Cross",240,Galera," E, junto com machucados homéricos e músicos gatos, vai conseguir algumas lições que até mesmo uma descolada praticante de Derby não pode ignorar!Chick-lit / Jovem adulto " 
 2633,"Escola de Espiãs","Ally Carter",302,Galera,"Ficção / Literatura Estrangeira " 
 2634,"A Música Que Mudou Minha Vida","Robin Benway",368,Galera," " 
 2635,"Kiki Strike e a Tumba da Imperatriz","Kirsten Miller",415,Galera,"Infantojuvenil " 
 2636,C.O.V.A.,"Mark Walden",256,Galera,"Infantojuvenil " 
 2637,Aviador,"Eoin Colfer",448,Galera," " 
 2638,"Diário absolutamente verdadeiro de um índio de meio expediente","Sherman Alexie",312,Galera," " 
 2639,"OTOLINA E A GATA AMARELA","Chris Riddell",176,Galera,"  " 
 2640,"A Revolta das coisas","Charles Kiefer",40,Galera," " 
 2641,"Zé Perri","Claudio Fragata",88,Galera," " 
 2642,"Bárbara Debaixo da Chuva","Nilma Lacerda",112,Galera,"Infantojuvenil / Literatura Brasileira / Romance " 
 2643,"A Rainha da Fofoca","Meg Cabot",432,Galera,"Literatura Estrangeira / Chick-lit / Ficção / Romance / Jovem adulto " 
 2644,Pão-de-Mel,"Rachel Cohn",226,Galera,"Ficção / Literatura Estrangeira " 
 2645,Siri,"Rachel Cohn",348,Galera," Será que dessa vez uma nova e madura Cyd está prestes a aparecer? " 
 2646,"Princesa Mia","Meg Cabot",304,Galera," Como uma princesa poderia resolver tantos problemas?Jovem adulto " 
 2647,"Não Me Esqueça","Cecily von Ziegesar",336,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2648,"Rosa & Túmulo","Diana Peterfreund",397,Galera,"Literatura Estrangeira " 
 2649,"A Pedra Esculpida","Guillaume Prévost",240,Galera,"A Pedra Esculpida é o primeiro volume da série O Livro do Tempo,de Guillaume Prévost,e é um sucesso na França com milhares de exemplares vendidos  " 
 2650,"Sr. Ardiloso Cortês","Derek Landy",305,Galera," " 
 2651,"Garota Perfeita","Mary Hogan",222,Galera," Mas será que ela está pronta para mudar? " 
 2652,"Artemis Fowl ","Eoin Colfer",120,Galera," " 
 2653,"Duplo Fio","Malorie Blackman",388,Galera," Mas, nesse mundo onde os brancos zeros e os negros Cruzes não se misturam, será que há espaço para a apequena Callie Rose?Literatura Estrangeira / Psicologia / Romance / Sociologia " 
 2654,"Férias e Encantos","Sarah Mlynowski",384,Galera," Será que a mais nova inimiga de Rachel vai conseguir estragar as suas férias?Chick-lit " 
 2655,"Gregor; O Guerreiro da Superfície","Suzanne Collins",304,Galera,"Literatura Estrangeira / Infantojuvenil " 
 2656,"Além do Vale dos Espinhos","Patrick Carman",256,Galera," " 
 2657,"A Revanche","Andy McNab",368,Galera," " 
 2658,"Cida; a gata maravilha","LUIZ PAULO FACCIOLI",96,Galera,"  " 
 2659,"Segredos da Minha Vida em Hollywood: na locação","Jen Calonita",272,Galera,"  " 
 2660,"Você é um Homem Mau; Sr Gum!","Andy Stanton",192,Galera,"  " 
 2661,"Vale dos Dragões","Salamanda Drake",240,Galera," " 
 2662,"Eu Não Mentiria Para Você","Cecily von Ziegesar",240,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2663,"O Soldado","Andy Mcnab",368,Galera," Mas como achar um homem treinado para evitar a captura, especialista em vigilância e operações secretas? " 
 2664,"O Livro Perigoso para Garotos","Conn Iggulden",320,Galera," " 
 2665,Crepúsculo,"Meg Cabot",272,Galera," O que Jesse escolheria: viver sem Suzannah ou morrer para amá-la?Fantasia / Infantojuvenil / Literatura Estrangeira " 
 2666,"Kiki Strike e a Cidade das Sombras","Kirsten Miller",448,Galera,"Infantojuvenil " 
 2667,"Confissões de uma Banda","Nina Malkin",304,Galera,"  " 
 2668,"Nunca Mais!","Cecily von Ziegesar",304,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2669,"Vai Sonhando","Cecily von Ziegesar",320,Galera,"Chick-lit / Ficção / Literatura Estrangeira " 
 2670,"Sapos & Beijos","Sarah Mlynowski",352,Galera,"Chick-lit " 
 2671,"O Selo Médici","Theresa Breslin",490,Galera,"Aventura / Ficção / Literatura Estrangeira / Romance " 
 2672,"Jogo da Velha","Malorie Blackman",466,Galera," " 
 2673,"A Décima Cidade","Patrick Carman",224,Galera," " 
 2674,"A Morte é Contagiosa","Charlie Higson",400,Galera," Paulo " 
 2675,Épico,"Conor Kostick",400,Galera,"Ficção " 
 2676,"Um Verão Para Toda Vida","Michael Noonan",240,Galera,"Literatura Estrangeira " 
 2677,"Maré de Terror","Justin Somper",430,Galera,"Grace e Connor devem seguir por caminhos diferentes: será que ele escolherá o aprendizado prático proporcionado pelas aventuras a bordo do Diablo ou preferirá o terreno mais seguro e acolhedor da Academia de Piratas? E o que Grace poderá fazer para salvar seus amigos dos perigos que rondam o navio Vampiratas - sem colocar em risco sua própria vida? " 
 2678,"A Hora Mais Sombria","Meg Cabot",271,Galera,"Infantojuvenil / Literatura Estrangeira / Romance / Ficção " 
 2679,"A princesa à espera","Meg Cabot",256,Galera,"Ficção / Literatura Estrangeira / Romance " 
 2680,"A princesa em treinamento","Meg Cabot",315,Galera," Mas será que o namorado de Mia é como os outros garotos?Literatura Estrangeira " 
 2681,Assombrado,"Meg Cabot",240,Galera,"Ficção / Infantojuvenil / Literatura Estrangeira " 
 2682,"Feitiços e Sutiãs","Sarah Mlynowski",384,Galera,"Chick-lit " 
 2683,"O Arcano Nove","Meg Cabot",272,Galera," O que dizer de uma garota que precisa dividir sua atenção entre a própria vida e a morte dos outros? Fantasia / Infantojuvenil / Literatura Estrangeira / Ficção " 
 2684,"A Hora Mais Sombria","Meg Cabot",272,Galera,"E sera que Jack fara as escolhas certas? O amor entre Suzannah e Jesse ira aguentar a todas as coisa que acontecerão?Infantojuvenil / Literatura Estrangeira / Romance / Ficção " 
 2685,"Minha vizinha Alice","Judi Curtin",192,Galera," Mas será que essa idéia vai funcionar?  " 
 2686,"A Terra das Sombras","Meg Cabot",288,Record,"Chick-lit / Drama / Entretenimento / Fantasia / Ficção / Humor, Comédia / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério / Terror " 
 2687,"Garoto Encontra Garota (Boy Meets Girl)","Meg Cabot",400,Galera,"Chick-lit / Ficção / Literatura Estrangeira / Romance " 
 2688,"Robinson Crusoe","Daniel Defoe",440,Galera," " 
 2689,"No Limiar das Colinas Sombrias","Patrick Carman",288,Galera," Mas o que as pessoas tanto temem?" 
 2690,Assombrado,"Meg Cabot",240,Galera,"Ficção / Infantojuvenil / Literatura Estrangeira " 
 2691,"A Princesa Sobre os Refletores -Vol. 2","Meg Cabout",256,Galera," O que mais poderá acontecer com essa garota?  " 
 2692,"O Arcano Nove","Meg Cabot",269,Galera," O que dizer de uma garota que precisa dividir sua atenção entre a própria vida e a morte dos outros?Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira " 
 2693,"A Hora Mais Sombria","Meg Cabot",272,Galera,"Ficção / Infantojuvenil / Literatura Estrangeira / Romance " 
 2694,"A Terra das Sombras","Meg Cabot",288,Galera,"Chick-lit / Drama / Entretenimento / Fantasia / Ficção / Humor, Comédia / Jovem adulto / Literatura Estrangeira / Romance / Suspense e Mistério / Terror " 
 2695,"O vampiro não está tão a fim de você","Vlad Mezrich",180,Galera,""" - Simon, 902 " 
 2696,"A Última Palavra","Tamara Ireland Stone",352,Rocco,"Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 2697,"A Ilha do Guardião da Tempestade","Catherine Doyle",320,Rocco,"Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira " 
 2698,"O Desgosto de August","Brittany Cavallaro",384,Rocco,"Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério " 
 2699,"Morte No Verão","Benjamin Black",256,Rocco,"Crime / Ficção / Literatura Estrangeira / Suspense e Mistério " 
 2700,"Aqui; Agora; Sempre","Catherine Isaac",352,Rocco,"Chick-lit / Ficção / Literatura Estrangeira / Romance " 
 2701,"Dora e a Amiga de Verdade","Abby Hanlon",160,Rocco," E está levando sua imaginação com ela!Infantil / Infantojuvenil / Literatura Estrangeira " 
 2702,"Dois Beijos Para Maddy","Matthew Logelin",288,Rocco," Uma história de superação que vai emocionar o leitor!Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção " 
 2703,"A Odisseia de Penélope","Margaret Atwood",128,Rocco,"Ficção / Literatura Estrangeira / Romance " 
 2704,"O Mago","Inbali Iserles",320,Rocco,"Aventura / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira " 
