index,titulo,autor,n_pags,editora,genero 
 166,"A Quietude É A Chave","Ryan Holiday",288,Intrínseca,"Autoajuda / Literatura Estrangeira " 
 167,"Segredo De Justiça","Andréa Pachá",256,Intrínseca,"Literatura Brasileira " 
 168,"Rita Bandeira; Engenheira","Andrea Beaty",32,Intrínseca," Outros títulos da coleção Paulo Roberto, arquiteto; Ada Batista, cientista; Sofia Pimenta, futura presidentaInfantojuvenil / Literatura Estrangeira " 
 169,"Sofia Pimenta; Futura Presidenta","Andrea Beaty",40,Intrínseca,"Infantojuvenil / Literatura Estrangeira " 
 170,"Paulo Roberto; Arquiteto","Andrea Beaty",32,Intrínseca,"Infantojuvenil / Literatura Estrangeira " 
 171,"Quem é você; Alasca?","John Green",336,Intrínseca,"Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance " 
 172,"Os Segredos que Guardamos","Lara Prescott",365,Intrínseca,"História Geral / Literatura Estrangeira / Não-ficção " 
 173,"Na Raça","Maria Luíza Filgueiras",240,Intrínseca,"Literatura Estrangeira / Negócios e Empreendedorismo " 
 174,"REDE DE SUSSURROS","Chandler Baker",384,Intrínseca,"EDIÇÃO EBOOKFicção / Literatura Estrangeira / Romance / Suspense e Mistério " 
 175,"A Última Festa","Lucy Foley",304,Intrínseca," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério " 
 176,Pátria,"Fernando Aramburu",512,Intrínseca," " 
 177,"Teto Para Dois","Beth O'Leary",400,Intrínseca," Mas será que essa solução aparentemente perfeita resiste a um ex-namorado obsessivo, uma namorada ciumenta, um irmão encrencado, dois empregos exigentes e alguns amigos superprotetores? " 
 178,"F*deu geral","Mark Manson",224,Intrínseca,"Autoajuda / Não-ficção " 
 179,"O Labirinto de Fogo","Rick Riordan",368,Intrínseca,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira " 
 180,"Um Lugar Bem Longe Daqui","Delia Owens",336,Intrínseca,"Drama / Suspense e Mistério " 
 181,"Cinquenta tons de liberdade: O capítulo final","E.L. James",544,Intrínseca,"Erótico / Ficção / Literatura Estrangeira / Romance " 
 182,"Ainda Sou Eu","Jojo Moyes",400,Intrínseca," E, quando a situação atinge um ponto crítico, ela precisa se perguntar: Quem é Louisa Clark? E como é possível reconciliar um coração dividido?Ficção / Literatura Estrangeira / Romance / Drama " 
 183,"O Senhor do Caos","Robert Jordan",1072,Intrínseca," Chicago Sun-TimesFicção / Literatura Estrangeira " 
 184,"Me Chame Pelo Seu Nome"," André Aciman ",288,Intrínseca,"Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Drama " 
 185,"Ainda Sou Eu","Jojo Moyes",400,Intrínseca," E, quando a situação atinge um ponto crítico, ela precisa se perguntar: Quem é Louisa Clark? E como é possível reconciliar um coração dividido?Ficção / Literatura Estrangeira / Romance / Drama " 
 186,"O método TB12","Tom Brady",320,Intrínseca,"Esportes / Literatura Estrangeira / Não-ficção " 
 187,"A Grande Jogada","Molly Bloom",272,Intrínseca,"Literatura Estrangeira / Não-ficção " 
 188,"O Homem de Giz","C.J. Tudor",272,Intrínseca,"Ficção / Literatura Estrangeira / Suspense e Mistério " 
 189,"A Forma da Água","Guillermo del Toro",352,Intrínseca,"Fantasia / Ficção / Horror / Literatura Estrangeira / Romance " 
 190,"Mais Escuro (Grey Vol. 2)","E L James",496,Intrínseca," Flynn, poderá ajudá-lo a enfrentar seus demônios? Ou será que a possessividade de Elena, sua sedutora, e a devoção perturbada de Leila, sua ex-submissa, vão arrastá-lo para o passado? E se Christian vai reconquistar Ana, será que um homem tão sombrio e cheio de problemas espera mesmo mantê-la? " 
 191,"Um Cavalheiro em Moscou","Amor Towles",464,Intrínseca,"Ficção / Literatura Estrangeira " 
 192,"As Oito Montanhas"," Paolo Cognetti ",256,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
