,titulo,autor,disp
251,Velhos são os outros,Andréa Pachá,/DISPONIVEL
252,Como mudar sua mente,Michael Pollan,/DISPONIVEL
253,O caso da mansão Deboën,Edgar Cantero,/DISPONIVEL
254,Tartarugas até lá embaixo,John Green,/DISPONIVEL
255,What If It's Us,Becky Albertalli,/DISPONIVEL
256,As oito montanhas,Paolo Cognetti,/DISPONIVEL
257,Em busca de abrigo,Jojo Moyes,/DISPONIVEL
258,MITOLOGIA NÓRDICA,Neil Gaiman,/DISPONIVEL
259,Paris para um e outros contos,Jojo Moyes,/DISPONIVEL
260,O Livro dos Baltimore,Joël Dicker,/DISPONIVEL
261,Aconteceu naquele verão,Stephanie Perkins,/DISPONIVEL
262,Como combater a fúria de um dragão,Cressida Cowell,/DISPONIVEL
263,Buracos negros,Stephen Hawking,/DISPONIVEL
264,Meu menino vadio,Luiz Fernando Vianna,/DISPONIVEL
265,Cinquenta Tons Mais Escuros,E.L. James,/DISPONIVEL
266,Regras simples,Donald Sull e Kathleen M. Eisenhardt,/DISPONIVEL
267,A batalha por WondLa,Tony DiTerlizzi,/DISPONIVEL
268,Antes que eu vá,Lauren Oliver,/DISPONIVEL
269,Cinquenta Tons Mais Escuros,E.L. James,/DISPONIVEL
270,A longa caminhada de Billy Lynn,Ben Fountain ,/DISPONIVEL
271,Como Combater a Fúria de Um Dragão,Cressida Cowell,/DISPONIVEL
272,A verdade é teimosa,Miriam Leitão,/DISPONIVEL
273,Às urnas; cidadãos!,Thomas Piketty,/DISPONIVEL
274,Pequenas Grandes Mentiras,Liane Moriarty ,/DISPONIVEL
275,Os Irmãos Tapper Detonam Nova York,Geoff Rodkey,/DISPONIVEL
276,Somos Todos Extraordinários,R. J. Palacio,/DISPONIVEL
277,Eu Sei Onde Você Está,Claire Kendal,/DISPONIVEL
278,Somos Guerreiras,Glennon Doyle Melton,/DISPONIVEL
279,Quem era ela,JP Delaney,/DISPONIVEL
280,Um Amor Incômodo,Elena Ferrante,/DISPONIVEL
281,Mitologia Nórdica,Neil Gaiman,/DISPONIVEL
282,A Garota Que Você Deixou Para Trás,Jojo Moyes,/DISPONIVEL
283,Tudo o que nunca contei, Celeste Ng ,/DISPONIVEL
284,Olhos Prateados,Scott Cawthon,/DISPONIVEL
285,Quatro estações em Roma,Anthony Doerr,/DISPONIVEL
286,Todo amor tem segredos,Viih Tube,/DISPONIVEL
287,Os irmãos Tapper detonam Nova York,Geoff Rodkey,/DISPONIVEL
288,Até Que a Culpa Nos Separe,Liane Moriarty ,/DISPONIVEL
289,Até Que a Culpa Nos Separe,Liane Moriarty ,/DISPONIVEL
290,Deixei Você Ir,Clare Mackintosh,/DISPONIVEL
291,Deixei Você Ir (e-Book),Clare Mackintosh,/DISPONIVEL
292,Uma Pergunta Por Dia Para Mães,Potter Style,/DISPONIVEL
293,Como Se Tornar Um Campeão,Márcia Vieira,/DISPONIVEL
294,Ruby,Cynthia Bond,/DISPONIVEL
295,Ruby,Cynthia Bond,/DISPONIVEL
296,Sprint,Jake Knapp,/DISPONIVEL
297,Sprint - Livro Digital,Jake Knapp,/DISPONIVEL
298,O Papa e Mussolini,David I. Kertzer,/DISPONIVEL
299,Antes Que Eu Vá,Lauren Oliver,/DISPONIVEL
300,Agora e Para Sempre; Lara Jean,Jenny Han,/DISPONIVEL
301,Tudo o que nunca contei, Celeste Ng ,/DISPONIVEL
302,Pequenas Grandes Mentiras,Liane Moriarty ,/DISPONIVEL
303,Bem-vindo à Vida Real,Christian McKay Heidicker,/DISPONIVEL
304,Antes da Queda,Noah Hawley,/DISPONIVEL
305,Breve história de sete assassinatos,Marlon James,/DISPONIVEL
306,Piano Vermelho,Josh Malerman,/DISPONIVEL
307,Apenas Uma Garota,Meredith Russo,/DISPONIVEL
308,Em Busca de Abrigo,Jojo Moyes,/DISPONIVEL
309,A Casa das Marés,Jojo Moyes,/DISPONIVEL
310,Mitologia Nórdica,Neil Gaiman,/DISPONIVEL
311,Excesso de Luz,Christian McKay Heidicker,/DISPONIVEL
312,A Profecia das Sombras,Rick Riordan,/DISPONIVEL
313,Razões para continuar vivo,Matt Haig,/DISPONIVEL
314,O Caminho da Porcelana,Edmund de Waal,/DISPONIVEL
315,O Projeto Desfazer,Michael Lewis,/DISPONIVEL
316,As Garotas,Emma Cline,/DISPONIVEL
317,As Coisas que Perdemos no Fogo,Mariana Enriquez,/DISPONIVEL
318,Por trás de seus olhos,Sarah Pinborough,/DISPONIVEL
319,Eu Sei Onde Você Está,Claire Kendal,/DISPONIVEL
320,Robô Selvagem,Peter Brown,/DISPONIVEL
321,Robô Selvagem,Peter Brown,/DISPONIVEL
322,Geekerela,Ashley Poston,/DISPONIVEL
323,Hotel Valhala: Guia dos Mundos Nórdicos,Rick Riordan,/DISPONIVEL
324,Hoje Vai Ser Diferente,Maria Semple,/DISPONIVEL
325,Até Que a Culpa Nos Separe,Liane Moriarty ,/DISPONIVEL
326,Mindhunter,Mark Olshaker,/DISPONIVEL
327,Amor & Gelato,Jenna Evans Welch,/DISPONIVEL
328,Fantasma,Jason Reynolds,/DISPONIVEL
329,Fantasma,Jason Reynolds,/DISPONIVEL
330,Amor & Gelato,Jenna Evans Welch,/DISPONIVEL
331,As Mães,Brit Bennett,/DISPONIVEL
332,As Mães,Brit Bennett,/DISPONIVEL
333,Os 27 Crushes de Molly,Becky Albertalli,/DISPONIVEL
334,Os 27 Crushes de Molly,Becky Albertalli,/DISPONIVEL
335,O Árabe do Futuro,Riad Sattouf,/DISPONIVEL
